NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
MTDNA/DSRNA INNATE IMMUNE: MTDSRNA	MTDNA/DSRNA INNATE IMMUNE: MTDSRNA	Details ...	26	0.89634	1.8911921	0.0	0.0	0.0	2159	tags=77%, list=7%, signal=82%	
ADAPTIVE IMMUNE: SURFACE MARKER/RECEPTOR SIGNALING	ADAPTIVE IMMUNE: SURFACE MARKER/RECEPTOR SIGNALING	Details ...	28	0.8641624	1.8626935	0.0	0.0	0.0	2949	tags=61%, list=9%, signal=67%	
MTDNA/DSRNA INNATE IMMUNE: MTDNA	MTDNA/DSRNA INNATE IMMUNE: MTDNA	Details ...	20	0.89157873	1.8248924	0.0	0.0	0.0	2159	tags=75%, list=7%, signal=80%	
INNATE IMMUNE: INFLAMMATION	INNATE IMMUNE: INFLAMMATION	Details ...	18	0.8743797	1.7432117	0.0	0.0010515131	0.018	2664	tags=67%, list=8%, signal=72%	
EXTRACELLULAR MATRIX	EXTRACELLULAR MATRIX	Details ...	269	0.6224838	1.695818	0.0	0.0029286668	0.055	3156	tags=23%, list=10%, signal=26%	
METABOLISM: GLYCOLYSIS	METABOLISM: GLYCOLYSIS	Details ...	17	0.83548045	1.6647714	0.004901961	0.0054279948	0.105	912	tags=24%, list=3%, signal=24%	
ISR: TARGET-GENE	ISR: TARGET-GENE	Details ...	49	0.6966983	1.6464766	0.0066755675	0.007404412	0.146	2828	tags=33%, list=9%, signal=36%	
SENESCENCE: INDUCED	SENESCENCE: INDUCED	Details ...	340	0.5792922	1.5824746	0.0	0.019010732	0.343	3409	tags=29%, list=10%, signal=31%	
PANOPTOSIS: APOPTOSIS	PANOPTOSIS: APOPTOSIS	Details ...	16	0.8124564	1.5779141	0.008818342	0.019073863	0.357	3655	tags=63%, list=11%, signal=70%	
ISR	ISR		65	0.65361893	1.5747516	0.012562814	0.018839043	0.369	2828	tags=31%, list=9%, signal=34%	
HIF	HIF		78	0.6259183	1.5530593	0.0063451775	0.023023847	0.441	1786	tags=19%, list=5%, signal=20%	
HIF: HIF/GLYCOLYSIS	HIF: HIF/GLYCOLYSIS		78	0.6259183	1.552411	0.009603841	0.022312574	0.445	1786	tags=19%, list=5%, signal=20%	
HIF/MTOR/GLYCOLYSIS	HIF/MTOR/GLYCOLYSIS		123	0.59853524	1.5501642	0.0	0.022050787	0.456	1786	tags=16%, list=5%, signal=17%	
HIF: SELECTED HIF TARGET	HIF: SELECTED HIF TARGET		63	0.64608794	1.5496526	0.01511335	0.021300446	0.458	2828	tags=25%, list=9%, signal=28%	
ANTIOXIDANT DEFENSES	ANTIOXIDANT DEFENSES		68	0.56843877	1.3955271	0.05459057	0.094003156	0.944	3742	tags=26%, list=11%, signal=30%	
SENESCENCE: INHIBITED	SENESCENCE: INHIBITED		458	0.50031555	1.3793085	0.0010121458	0.10190243	0.969	3752	tags=22%, list=11%, signal=25%	
ISR / UPR MT/ER	ISR / UPR MT/ER		100	0.5452493	1.3766705	0.03725262	0.10035174	0.969	2485	tags=22%, list=8%, signal=24%	
ANTIOXIDANT DEFENSES: GLUTATHIONE METABOLISM	ANTIOXIDANT DEFENSES: GLUTATHIONE METABOLISM		30	0.56253433	1.2157518	0.23404256	0.26013264	1.0	3158	tags=27%, list=10%, signal=29%	
RAAS: AGT REGULATOR AXIS	RAAS: AGT REGULATOR AXIS		16	0.62097347	1.1966467	0.26688632	0.27811655	1.0	2677	tags=25%, list=8%, signal=27%	
METABOLISM: NON-OXIDATIVE METABOLISM	METABOLISM: NON-OXIDATIVE METABOLISM		129	0.46062976	1.1965688	0.18038331	0.2693094	1.0	3481	tags=19%, list=11%, signal=21%	
METABOLISM	METABOLISM		133	0.44639653	1.1721917	0.21380846	0.2942159	1.0	3267	tags=17%, list=10%, signal=19%	
METABOLISM: FATTY ACID OXIDATION	METABOLISM: FATTY ACID OXIDATION		15	0.5452456	1.0565946	0.42857143	0.4589856	1.0	5151	tags=40%, list=16%, signal=47%	
RAAS: VASCULAR INFLAMMATION	RAAS: VASCULAR INFLAMMATION		23	0.48978403	1.0239595	0.44854072	0.5008044	1.0	3672	tags=17%, list=11%, signal=20%	
RAAS: VASCULAR INFLAMMATION: BRADYKININ PRODUCTION	RAAS: VASCULAR INFLAMMATION: BRADYKININ PRODUCTION		17	0.47794166	0.9436241	0.5544389	0.6202181	1.0	2689	tags=12%, list=8%, signal=13%	
UPR MT/ER: TARGET-GENE: UPR ER	UPR MT/ER: TARGET-GENE: UPR ER		19	0.40362182	0.8166391	0.69854134	0.790348	1.0	616	tags=11%, list=2%, signal=11%	
UPR MT/ER	UPR MT/ER		39	0.36227286	0.80970746	0.73978204	0.7779681	1.0	616	tags=8%, list=2%, signal=8%	
METABOLISM: NUCLEOTIDE SYNTHESIS	METABOLISM: NUCLEOTIDE SYNTHESIS		22	0.34656733	0.71180195	0.835131	0.872638	1.0	6189	tags=36%, list=19%, signal=45%	
