NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
INNATE IMMUNE: NON-CANONICAL	INNATE IMMUNE: NON-CANONICAL	Details ...	21	0.9058243	1.8404781	0.0013927576	1.4862914E-4	0.002	893	tags=67%, list=3%, signal=68%	
ADAPTIVE IMMUNE: SURFACE MARKER/RECEPTOR SIGNALING	ADAPTIVE IMMUNE: SURFACE MARKER/RECEPTOR SIGNALING	Details ...	28	0.8437478	1.7889746	0.0013280213	2.0767195E-4	0.003	3403	tags=64%, list=10%, signal=72%	
PANOPTOSIS	PANOPTOSIS	Details ...	37	0.80695945	1.7805096	0.0	1.9169718E-4	0.003	3826	tags=62%, list=12%, signal=70%	
MTDNA/DSRNA INNATE IMMUNE: MTDNA	MTDNA/DSRNA INNATE IMMUNE: MTDNA	Details ...	20	0.86995727	1.7595091	0.0	2.3356009E-4	0.004	2805	tags=75%, list=8%, signal=82%	
INNATE IMMUNE: INFLAMMATION	INNATE IMMUNE: INFLAMMATION	Details ...	18	0.8628068	1.7468406	0.0	4.7184242E-4	0.008	2120	tags=56%, list=6%, signal=59%	
EXTRACELLULAR MATRIX	EXTRACELLULAR MATRIX	Details ...	269	0.61616284	1.6042787	0.0	0.010349579	0.178	5347	tags=32%, list=16%, signal=38%	
HIF: SELECTED HIF TARGET	HIF: SELECTED HIF TARGET	Details ...	63	0.65231264	1.5504156	0.008055236	0.022146434	0.364	2585	tags=24%, list=8%, signal=26%	
HIF	HIF	Details ...	78	0.6261317	1.5309652	0.007972665	0.025915924	0.43	2585	tags=22%, list=8%, signal=24%	
HIF: HIF/GLYCOLYSIS	HIF: HIF/GLYCOLYSIS	Details ...	78	0.6261317	1.5216807	0.003409091	0.027187943	0.459	2585	tags=22%, list=8%, signal=24%	
SENESCENCE: INDUCED	SENESCENCE: INDUCED	Details ...	340	0.581779	1.5088868	0.0	0.030719938	0.523	3806	tags=21%, list=12%, signal=24%	
PANOPTOSIS: APOPTOSIS	PANOPTOSIS: APOPTOSIS		16	0.7758008	1.4956118	0.026627218	0.03471457	0.58	4872	tags=69%, list=15%, signal=81%	
ISR	ISR		65	0.5987255	1.4245274	0.03271028	0.07222937	0.865	2711	tags=25%, list=8%, signal=27%	
ISR: TARGET-GENE	ISR: TARGET-GENE		49	0.6176439	1.4244748	0.033532932	0.06908897	0.865	5443	tags=41%, list=16%, signal=49%	
HIF/MTOR/GLYCOLYSIS	HIF/MTOR/GLYCOLYSIS		123	0.56843424	1.4148715	0.010548524	0.07285103	0.89	2692	tags=18%, list=8%, signal=19%	
OXPHOS: MT-DNA TRNA	OXPHOS: MT-DNA TRNA		16	0.70962423	1.3751199	0.092987806	0.10013356	0.955	8859	tags=94%, list=27%, signal=128%	
SENESCENCE: INHIBITED	SENESCENCE: INHIBITED		458	0.5166769	1.3535475	0.001001001	0.11546404	0.976	4071	tags=23%, list=12%, signal=26%	
ISR / UPR MT/ER	ISR / UPR MT/ER		100	0.5348062	1.3217286	0.0627027	0.14222282	0.995	5188	tags=30%, list=16%, signal=35%	
METABOLISM: GLYCOLYSIS	METABOLISM: GLYCOLYSIS		17	0.6571031	1.3005483	0.14956012	0.15946676	0.998	541	tags=18%, list=2%, signal=18%	
ANTIOXIDANT DEFENSES	ANTIOXIDANT DEFENSES		68	0.5264376	1.265085	0.1309255	0.19682063	1.0	4888	tags=26%, list=15%, signal=31%	
METABOLISM: FATTY ACID OXIDATION	METABOLISM: FATTY ACID OXIDATION		15	0.6364926	1.2521455	0.20864381	0.20649922	1.0	8994	tags=60%, list=27%, signal=82%	
ANTIOXIDANT DEFENSES: GLUTATHIONE METABOLISM	ANTIOXIDANT DEFENSES: GLUTATHIONE METABOLISM		30	0.58698255	1.250624	0.15435356	0.20191075	1.0	4488	tags=23%, list=14%, signal=27%	
RAAS: AGT REGULATOR AXIS	RAAS: AGT REGULATOR AXIS		16	0.62226236	1.2150816	0.23485968	0.2419347	1.0	3151	tags=38%, list=10%, signal=41%	
RAAS: VASCULAR INFLAMMATION	RAAS: VASCULAR INFLAMMATION		23	0.49448693	1.0011789	0.50840336	0.62847376	1.0	2854	tags=17%, list=9%, signal=19%	
METABOLISM: NON-OXIDATIVE METABOLISM	METABOLISM: NON-OXIDATIVE METABOLISM		129	0.35787323	0.89791405	0.6836518	0.8113454	1.0	3600	tags=21%, list=11%, signal=23%	
UPR MT/ER: TARGET-GENE: UPR ER	UPR MT/ER: TARGET-GENE: UPR ER		19	0.43561253	0.87719375	0.64529914	0.8233579	1.0	3708	tags=21%, list=11%, signal=24%	
METABOLISM	METABOLISM		133	0.34550747	0.8727931	0.72984296	0.8079644	1.0	3600	tags=20%, list=11%, signal=23%	
UPR MT/ER	UPR MT/ER		39	0.39082986	0.860935	0.6883436	0.8052734	1.0	1666	tags=10%, list=5%, signal=11%	
METABOLISM: NUCLEOTIDE SYNTHESIS	METABOLISM: NUCLEOTIDE SYNTHESIS		22	0.3882089	0.7908966	0.7353362	0.8831547	1.0	3421	tags=23%, list=10%, signal=25%	
OXPHOS: MT-BIOGENESIS	OXPHOS: MT-BIOGENESIS		30	0.3034558	0.65559727	0.916558	1.0	1.0	4016	tags=20%, list=12%, signal=23%	
MTOR: MTOR STRUCTURAL: MTORC1	MTOR: MTOR STRUCTURAL: MTORC1		15	0.3224714	0.6273111	0.90771556	0.99676424	1.0	1014	tags=7%, list=3%, signal=7%	
METABOLISM: PEROXISOME	METABOLISM: PEROXISOME		21	0.29700038	0.6097621	0.9258741	0.9827853	1.0	2651	tags=10%, list=8%, signal=10%	
RAAS: VASCULAR INFLAMMATION: BRADYKININ PRODUCTION	RAAS: VASCULAR INFLAMMATION: BRADYKININ PRODUCTION		17	0.25232977	0.49924237	0.9838946	0.9929201	1.0	9707	tags=29%, list=29%, signal=42%	
