NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
RAAS: TISSUE DAMAGE: PANOPTOSIS	RAAS: TISSUE DAMAGE: PANOPTOSIS	Details ...	34	0.7055032	1.7629864	0.0029325513	0.0030117794	0.035	4626	tags=47%, list=14%, signal=55%	
RAAS	RAAS	Details ...	73	0.5991431	1.6882037	0.0040816325	0.007799609	0.093	6210	tags=45%, list=19%, signal=56%	
PANOPTOSIS	PANOPTOSIS	Details ...	37	0.6509244	1.6648725	0.00736377	0.009854522	0.126	4046	tags=35%, list=12%, signal=40%	
EXTRACELLULAR MATRIX	EXTRACELLULAR MATRIX	Details ...	269	0.51715744	1.65405	0.0011325028	0.010725322	0.147	4524	tags=31%, list=14%, signal=35%	
INNATE IMMUNE: INFLAMMATION	INNATE IMMUNE: INFLAMMATION	Details ...	18	0.74404943	1.6223942	0.0032626428	0.014498824	0.21	3561	tags=50%, list=11%, signal=56%	
METABOLISM: NUCLEOTIDE SYNTHESIS	METABOLISM: NUCLEOTIDE SYNTHESIS	Details ...	22	0.66061425	1.5470146	0.020602219	0.033491317	0.455	4297	tags=32%, list=13%, signal=37%	
ADAPTIVE IMMUNE: SURFACE MARKER/RECEPTOR SIGNALING	ADAPTIVE IMMUNE: SURFACE MARKER/RECEPTOR SIGNALING	Details ...	28	0.60515773	1.4757196	0.0390625	0.064010926	0.698	4624	tags=54%, list=14%, signal=62%	
METABOLISM: FATTY ACID OXIDATION	METABOLISM: FATTY ACID OXIDATION	Details ...	15	0.6870423	1.4593987	0.037441496	0.070257984	0.749	5300	tags=53%, list=16%, signal=63%	
METABOLISM: NUCLEOTIDE SYNTHESIS: NUCLEAR	METABOLISM: NUCLEOTIDE SYNTHESIS: NUCLEAR	Details ...	16	0.6626752	1.4013324	0.070032574	0.10740243	0.894	4297	tags=31%, list=13%, signal=36%	
RAAS: VASCULAR INFLAMMATION: BRADYKININ PRODUCTION	RAAS: VASCULAR INFLAMMATION: BRADYKININ PRODUCTION	Details ...	17	0.6197532	1.3706254	0.090189874	0.12918809	0.937	8476	tags=47%, list=26%, signal=63%	
METABOLISM: NON-OXIDATIVE METABOLISM	METABOLISM: NON-OXIDATIVE METABOLISM		129	0.45205912	1.3651085	0.021491783	0.12752928	0.944	5318	tags=23%, list=16%, signal=28%	
METABOLISM	METABOLISM		133	0.44114476	1.3157429	0.04452467	0.1731864	0.981	5318	tags=23%, list=16%, signal=28%	
RAAS: AGT REGULATOR AXIS	RAAS: AGT REGULATOR AXIS		16	0.6125743	1.315653	0.1501548	0.16573513	0.981	9823	tags=81%, list=30%, signal=116%	
UPR MT/ER: TARGET-GENE: UPR ER	UPR MT/ER: TARGET-GENE: UPR ER		19	0.58475655	1.30564	0.13525836	0.17049974	0.987	3836	tags=26%, list=12%, signal=30%	
PANOPTOSIS: APOPTOSIS	PANOPTOSIS: APOPTOSIS		16	0.5775417	1.2586478	0.17880794	0.2216838	0.998	4046	tags=25%, list=12%, signal=28%	
HIF: SELECTED HIF TARGET	HIF: SELECTED HIF TARGET		63	0.45343846	1.2483096	0.13296399	0.2262709	0.999	6952	tags=33%, list=21%, signal=42%	
HIF	HIF		78	0.37458804	1.0638264	0.35317996	0.56039166	1.0	4461	tags=19%, list=13%, signal=22%	
HIF: HIF/GLYCOLYSIS	HIF: HIF/GLYCOLYSIS		78	0.37458804	1.0628678	0.33377483	0.5426318	1.0	4461	tags=19%, list=13%, signal=22%	
SENESCENCE: INHIBITED	SENESCENCE: INHIBITED		458	0.3210636	1.0625644	0.30679405	0.52463126	1.0	5834	tags=23%, list=18%, signal=28%	
RAAS: VASCULAR INFLAMMATION	RAAS: VASCULAR INFLAMMATION		23	0.42854017	0.996581	0.45665634	0.6598182	1.0	4191	tags=30%, list=13%, signal=35%	
METABOLISM: GLYCOLYSIS	METABOLISM: GLYCOLYSIS		17	0.4524833	0.9867756	0.47258064	0.6614698	1.0	4700	tags=24%, list=14%, signal=27%	
SENESCENCE: INDUCED	SENESCENCE: INDUCED		340	0.3005047	0.98563826	0.495114	0.6439344	1.0	6119	tags=27%, list=19%, signal=33%	
ISR / UPR MT/ER	ISR / UPR MT/ER		100	0.3252202	0.9585911	0.5390729	0.68441343	1.0	4603	tags=18%, list=14%, signal=21%	
ISR	ISR		65	0.3397222	0.93686664	0.55826557	0.71217775	1.0	4603	tags=20%, list=14%, signal=23%	
UPR MT/ER: TARGET-GENE	UPR MT/ER: TARGET-GENE		30	0.38160646	0.93243307	0.5772114	0.7014497	1.0	3836	tags=17%, list=12%, signal=19%	
HIF/MTOR/GLYCOLYSIS	HIF/MTOR/GLYCOLYSIS		123	0.30649647	0.9115631	0.6486146	0.7254782	1.0	5475	tags=20%, list=17%, signal=23%	
ISR: TARGET-GENE	ISR: TARGET-GENE		49	0.33577204	0.8968951	0.6427567	0.7357417	1.0	4603	tags=22%, list=14%, signal=26%	
ANTIOXIDANT DEFENSES	ANTIOXIDANT DEFENSES		68	0.3079649	0.85653704	0.7250342	0.7942667	1.0	11014	tags=46%, list=33%, signal=68%	
METABOLISM: TCA CYCLE	METABOLISM: TCA CYCLE		19	0.3447306	0.7486137	0.84162897	0.94866097	1.0	534	tags=5%, list=2%, signal=5%	
ANTIOXIDANT DEFENSES: GLUTATHIONE METABOLISM	ANTIOXIDANT DEFENSES: GLUTATHIONE METABOLISM		30	0.28134516	0.69142944	0.90044576	0.98362076	1.0	6220	tags=20%, list=19%, signal=25%	
UPR MT/ER	UPR MT/ER		39	0.26762825	0.67616427	0.9445215	0.9702892	1.0	4387	tags=15%, list=13%, signal=18%	
OXPHOS: MT-DNA TRNA	OXPHOS: MT-DNA TRNA		16	0.17810974	0.3819442	1.0	0.99997675	1.0	7059	tags=13%, list=21%, signal=16%	
